objectName,reset,riskCategory1,riskCategory2,ratingCategory,ratingClassValue,F,M
Algeria,All-Countries,Low,Low,Good equality,2,26.7,31
Peru,All-Countries,Low,Moderate,Fair equality,3,56.3,66.1
Albania,All-Countries,High,High,Good equality,2,81.8,87.9
Armenia,All-Countries,High,High,Good equality,2,94,95
Bosnia and Herzegovina,All-Countries,Low,Moderate,Good equality,2,44.9,69.8
Ecuador,All-Countries,Low,Low,Good equality,2,40.1,39.4
China,All-Countries,Low,Moderate,Fair equality,3,58.7,71.9
Fiji,All-Countries,Moderate,Moderate,Very poor equality,1,64.2,64.5
Mongolia,All-Countries,Moderate,High,Very poor equality,1,85.3,84.1
Thailand,All-Countries,Moderate,Low,Good equality,2,35.7,40.8
Dominica,All-Countries,Low,Low,Very poor equality,1,29.7,23.2
Libya,All-Countries,Low,Low,Very poor equality,1,55.5,41.9
Tunisia,All-Countries,Low,Low,Good equality,2,32.8,46.1
Colombia,All-Countries,Low,Low,Very poor equality,1,56.9,55.6
Jamaica,All-Countries,Moderate,Moderate,Very poor equality,1,74,70.2
Tonga,All-Countries,High,High,Very poor equality,1,87.5,88.3
Belize,All-Countries,Moderate,Moderate,Very poor equality,1,76.4,75.8
Dominican Republic,All-Countries,Moderate,Low,Very poor equality,1,55.6,53.1
Suriname,All-Countries,Low,Low,Very poor equality,1,44.6,47.1
Maldives,All-Countries,Low,Low,Good equality,2,27.3,32.7
Samoa,All-Countries,Moderate,Moderate,Very poor equality,2,64.3,60
Botswana,All-Countries,Moderate,Moderate,Good equality,3,73.6,77.9
Moldova (Republic of),All-Countries,High,High,Good equality,3,93.6,96.6
Egypt,All-Countries,Low,Moderate,Fair equality,3,43.9,60.6
Gabon,All-Countries,Low,Low,Very poor equality,3,53.9,36.1
Indonesia,All-Countries,Low,Low,Fair equality,3,39.9,49.2
Paraguay,All-Countries,Low,Low,Fair equality,3,36.8,43
"Palestine, State of",All-Countries,Low,Low,Good equality,3,53.9,59.4
Philippines,All-Countries,Moderate,Moderate,Very poor equality,3,65.9,63.7
El Salvador,All-Countries,Low,Low,Fair equality,3,36.8,43.6
South Africa,All-Countries,Moderate,Moderate,Good equality,3,72.7,75.9
Viet Nam,All-Countries,Low,Moderate,Fair equality,4,59.4,71.2
Bolivia (Plurinational State of),All-Countries,Low,Low,Fair equality,4,47.6,59.1
Kyrgyzstan,All-Countries,Low,Moderate,Poor equality,4,34.5,66.8
Iraq,All-Countries,Low,Low,Very poor equality,4,27.8,50.2
Guyana,All-Countries,Moderate,Low,Fair equality,6,60.3,47.8
Nicaragua,All-Countries,Low,Low,Very poor equality,6,39.4,38.3
Morocco,All-Countries,Low,Low,Poor equality,6,17.2,30.2
Namibia,All-Countries,Low,Low,Fair equality,6,29.1,34.4
Guatemala,All-Countries,Low,Low,Good equality,6,22.1,23.2
Tajikistan,All-Countries,Low,High,Poor equality,5,51.1,91.2
India,All-Countries,Low,Low,Very poor equality,5,17.2,56.6
